youtube_id,video_title,duration,view_count,uploader_name,uploader_id,channel_url,video_url,description
hcUfVa8QVVY,I'm Lonely,413,142784,Hollis P. Monroe - Topic,UCKVzovJDizoyxiAPr-_g5Pg,https://www.youtube.com/channel/UCKVzovJDizoyxiAPr-_g5Pg,https://www.youtube.com/watch?v=hcUfVa8QVVY,"Provided to YouTube by Believe SAS

I'm Lonely · Hollis P. Monroe · Hollis P. Monroe · Sananda Maitreya · Hollis P. Monroe · Hollis P. Monroe

I'M Lonely

℗ Stickman Records

Released on: 2020-03-31

Auto-generated by YouTube."
naAG83RrAq0,The Mole People - Break Night,779,17779,Techno & House Classics,monsieurolaf,https://www.youtube.com/channel/UC3NFag-Xh1cKPYwXzv5_dBQ,https://www.youtube.com/watch?v=naAG83RrAq0,"Sign up here (and get a free coffee) https://www.buymeacoffee.com/?via=technoclassics

Feeling generous? Buy me a coffee here:
https://www.buymeacoffee.com/technoclassics

#StrictlyRhythm #ArmandVanHelden 

The Mole People ‎– Break Night / Ocean
Label: Strictly Rhythm ‎– SR12357
Format: Vinyl, 12"", 33 ⅓ RPM 
Country: US
Released: 1995
Genre: Electronic
Style: House, Tribal House"
_RC5AZOdU1Q,Mood II Swing - Move Me (Original Mix),382,107633,KC,KristianChantry,https://www.youtube.com/channel/UCO6NunwNARdTLf0bHouZjCg,https://www.youtube.com/watch?v=_RC5AZOdU1Q,"http://www.discogs.com/Mood-II-Swing-Move-Me/release/56170

Support the artist. 

http://www.beatport.com/track/move-me-original-mix/924075

Disclaimer: I do not own this music. NO copyright intended. If you own the rights to this music and you want me to remove it, please contact me & I will do so. Mood II Swing are synonymous with Sir Henry's in Cork."
5PtVWhAY0oU,Inspiration + Light - Universal Principles,512,39111,TheMercuryProject,TheMercuryProject,https://www.youtube.com/channel/UCxwi5Rl5eBJgfE9efamJ_dg,https://www.youtube.com/watch?v=5PtVWhAY0oU,"Inspiration + Light
Artist: Universal Principles
Soma Records
Catalog #: Soma 68
Released: 1998"
P5aYG0rRyzk,Cevin Fisher feat Loleatta Holloway - (You Got Me) Burning Up (Queen St. Orchestra Vocal Mix) (HQ),570,47183,Vinyl Stash,TheDustyBreaks,https://www.youtube.com/channel/UCRDeZ0CxvODjyLH-659fyYg,https://www.youtube.com/watch?v=P5aYG0rRyzk,Cevin Fisher feat Loleatta Holloway - (You Got Me) Burning Up (Queen St. Orchestra Vocal Mix)
s0KXg4viqcU,Jodeci - Get on Up (Grant Nelson's Anthem Remix),412,75558,Rembrandt92,Rembrandt92,https://www.youtube.com/channel/UCzb6ocR5QPAO2rR6RBLQBSw,https://www.youtube.com/watch?v=s0KXg4viqcU,Released in 1996
BXY7gKw0mjU,Mood II Swing - All Night Long,494,4464,Ala Blaha,MrALAD2,https://www.youtube.com/channel/UCyHp42lIorlnjDzxWtJ5P2A,https://www.youtube.com/watch?v=BXY7gKw0mjU,Classic House Music..
aLPVphRDEgU,Mood II Swing - Do It Your Way (1996),567,92506,DaGhostChild,DaGhostChild,https://www.youtube.com/channel/UCnu3bWVYO1GBY-iIwx7K_VA,https://www.youtube.com/watch?v=aLPVphRDEgU,http://www.discogs.com/Mood-II-Swing-Do-It-Your-Way/release/25648
KdJsc6eVcIE,Cassius - Foxxy Original (HQ),368,52803,Roro,heavymetalmusicfan1,https://www.youtube.com/channel/UCvm664kmnY6bdfQ_u8XVCdg,https://www.youtube.com/watch?v=KdJsc6eVcIE,
72cKG350474,Ohh (Original Mix),449,46629,Mood II Swing - Topic,UCiFeRc24QaQ8Et0FzICKeHA,https://www.youtube.com/channel/UCiFeRc24QaQ8Et0FzICKeHA,https://www.youtube.com/watch?v=72cKG350474,"Provided to YouTube by Label Worx Ltd

Ohh (Original Mix) · Mood II Swing · John Ciafone

I See You Dancing

℗ Ethan Jayden Music, ASCAP & Moody Black Keys, ASCAP

Released on: 2014-05-28

Composer: John Ciafone

Auto-generated by YouTube."
