youtube_id,video_title,duration,view_count,uploader_name,uploader_id,channel_url,video_url
RqzkGPag7Ho,DJ Ande - Kung Fu (Original Mix),348,1379,mickeybeam75,mickeybeam75,https://www.youtube.com/channel/UCJYI6gHkjLBYn8iBSVG91Mg,https://www.youtube.com/watch?v=RqzkGPag7Ho
c1db87kFIPM,Mulu - Pussycat (PFM Remix),495,149781,m0mper,m0mper,https://www.youtube.com/channel/UCWCm7Ff1tpChnTEKqj_LURQ,https://www.youtube.com/watch?v=c1db87kFIPM
AHBJ68icJ_4,Shogun - Ulysees,436,252817,m0mper,m0mper,https://www.youtube.com/channel/UCWCm7Ff1tpChnTEKqj_LURQ,https://www.youtube.com/watch?v=AHBJ68icJ_4
T4Dg6CWOTYo,Frankie Bones ‎- Eastbound Underground 03 - 1998,5416,7658,Mixtape Magic,UCJHbk-CuZJTcu7Udzguqf9g,https://www.youtube.com/channel/UCJHbk-CuZJTcu7Udzguqf9g,https://www.youtube.com/watch?v=T4Dg6CWOTYo
uVaoy2OBtbI,Frankie Bones - That's How We Living (Bonesbreaks Volume 17 / Ozone Recordings),291,1768,mickeybeam75,mickeybeam75,https://www.youtube.com/channel/UCJYI6gHkjLBYn8iBSVG91Mg,https://www.youtube.com/watch?v=uVaoy2OBtbI
1vteb0DhF3M,Rush Pirates - Vol 1 (Ozone Recordings),314,1937,mickeybeam75,mickeybeam75,https://www.youtube.com/channel/UCJYI6gHkjLBYn8iBSVG91Mg,https://www.youtube.com/watch?v=1vteb0DhF3M
u1I4-j54Fz8,Big Bud - Sunrise (OKBR023),464,2593,mickeybeam75,mickeybeam75,https://www.youtube.com/channel/UCJYI6gHkjLBYn8iBSVG91Mg,https://www.youtube.com/watch?v=u1I4-j54Fz8
-01k8eyv9Wc,Soichi Terada - Grand Senshuraku - Sumo Jungle Far East Recording,303,318895,herman,herman8rrr,https://www.youtube.com/channel/UCR6J1daW0gGtrik9cQxQ_7Q,https://www.youtube.com/watch?v=-01k8eyv9Wc
41AbR5OuIE8,Wax Doctor - Offshore Drift,418,115679,Mickeybeam01,Mickeybeam01,https://www.youtube.com/channel/UCviavFHGYcSlJsjNK485uuQ,https://www.youtube.com/watch?v=41AbR5OuIE8
-lJZznrhX9Q,Janeret - Liquid,443,3405,Novaj 新し,UCgSC4NFr_xwN-lBfBbLqprw,https://www.youtube.com/channel/UCgSC4NFr_xwN-lBfBbLqprw,https://www.youtube.com/watch?v=-lJZznrhX9Q
tGv4nL-_RGE,Windowshopping - Baby Angel Typhoid Mary,163,2779,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=tGv4nL-_RGE
TlelFV0s068,Nas - The World is Yours (Al Pack & Solotek Bootleg),277,221,Euphoria,noueuphoria,https://www.youtube.com/channel/UCrvStcA5UnkdUgqdBlAZQ_A,https://www.youtube.com/watch?v=TlelFV0s068
fMZOn_lv7y8,J & J -   Midnight (Jungle Love Mix),403,5449,Rufus,UCIy-Wd3jndSRUHBATuaed6w,https://www.youtube.com/channel/UCIy-Wd3jndSRUHBATuaed6w,https://www.youtube.com/watch?v=fMZOn_lv7y8
VgOiNVfh_ao,DJ Devine & Essence - Hyper,395,3627,DJA1TCH,DJA1TCH,https://www.youtube.com/channel/UC-mU7otQ9Db0xNdoDiFQi9A,https://www.youtube.com/watch?v=VgOiNVfh_ao
bCNLDW-SFb8,Flytronix - The Rhode Tune,504,9578,Vibin',UCtrHcoiynEEILOrqtGAC1Aw,https://www.youtube.com/channel/UCtrHcoiynEEILOrqtGAC1Aw,https://www.youtube.com/watch?v=bCNLDW-SFb8
T6ufmMbQ8R0,Alaska - The Vortex,523,4729,John Freeman,UCcJAssPWt_6pY6_yFLCEGgQ,https://www.youtube.com/channel/UCcJAssPWt_6pY6_yFLCEGgQ,https://www.youtube.com/watch?v=T6ufmMbQ8R0
