youtube_id,video_title,duration,view_count,uploader_name,uploader_id,channel_url,video_url,description
4wIjJ3CQRZE,À l'ancienne on l'appelait papy,361,10180,Mézigue - Topic,UCFbE0iXOq4zTS7ib9yXOoeA,https://www.youtube.com/channel/UCFbE0iXOq4zTS7ib9yXOoeA,https://www.youtube.com/watch?v=4wIjJ3CQRZE,"Provided to YouTube by Pschent

À l'ancienne on l'appelait papy · Mézigue

Mangez-moi

℗ 2016 D.KO Records

Released on: 2019-01-11

Producer: Arthur Popovici
Music  Publisher: D.KO Records
Composer: Arthur Popovici

Auto-generated by YouTube."
1BcP-w5bGBI,Mark Blair - Kickin',322,63095,Local Request 4991,luisslr,https://www.youtube.com/channel/UCaM4FeYlEB_aEMluu6hJ2OA,https://www.youtube.com/watch?v=1BcP-w5bGBI,"FD here:https://hypeddit.com/track/ouxxta

Follow The Artist:https://soundcloud.com/djmarkblair
Follow The Artist:https://www.facebook.com/MarkBlairMusic/"
TWUimMf8vks,KETTAMA - I P O D,285,12115,Novaj 新し,UCgSC4NFr_xwN-lBfBbLqprw,https://www.youtube.com/channel/UCgSC4NFr_xwN-lBfBbLqprw,https://www.youtube.com/watch?v=TWUimMf8vks,"Novaj 新し Sensations & feelings


Follow KETTAMA:
https://soundcloud.com/evan-campbell-8
https://www.facebook.com/KETTAMAbro/
https://kettama.bandcamp.com/releases


Wanna be featured? 
- Send a message on Facebook or by mail: 
https://www.facebook.com/Novaj-%E6%96...
novajrecordings@gmail.com"
Cj95qYcqdVU,Jamez - People Will Believe (Smith & Selway Remix),372,1091,Jamez Music Tube,JamezmusicTube,https://www.youtube.com/channel/UCD3pjNEsVi0sy-q-d5bXVKg,https://www.youtube.com/watch?v=Cj95qYcqdVU,"Released on Future Groove. Smith & Selway did an awesome remix of my track.

enjoy!"
mBn-0D--lWs,Sante Sansone - Rock The Discotek (Original Mix),364,34047,laperarecords393,laperarecords393,https://www.youtube.com/channel/UCrNIsyKHLWnOXc0aVRWSXZg,https://www.youtube.com/watch?v=mBn-0D--lWs,"Buy link: https://www.beatport.com/release/git-moves/2518414
Git Moves EP
LA PERA 145 (la pera records)"
F7FbAEcrkIg,Alright,426,123394,Brame - Topic,UC-nGHkOqM7-C1aJFLRnEklA,https://www.youtube.com/channel/UC-nGHkOqM7-C1aJFLRnEklA,https://www.youtube.com/watch?v=F7FbAEcrkIg,"Provided to YouTube by Believe SAS

Alright · Brame, Klansee

Alright

℗ Deep Down Slam

Released on: 2013-04-29

Composer: Tiarnan Mc Morrow
Composer: Damien Clancy
Music Publisher: D.R

Auto-generated by YouTube."
mc1hh_n24Ac,Selected Dream Memories - Third Influence [The Third Turntable],348,589,Moskalus,TheMoskalus,https://www.youtube.com/channel/UC5rXILumTV11fEeq7nxWgOA,https://www.youtube.com/watch?v=mc1hh_n24Ac,"The Third Turntable unveils the project's first release, made of 4 semi-tool tracks thought for mixing. TTT Vol. 1 aims at laying the foundations of a new home of third-deck influenced artists. Play, enjoy, mix.

Label : The Third Turntable
Format: TTT001 - Digital
Style: Techno - Electro - Acid
Release date: May, 2021
Artwork : Alexandre Trkv
https://soundcloud.com/arthur_sire
https://soundcloud.com/thirdturntable
https://thethirdturntable.bandcamp.com/

#SelectedDreamMemories #TheThirdTurntable

Moskalus
moskalusxoxo at gmail dot com
https://soundcloud.com/moskalus
https://www.facebook.com/Moskalus/
https://www.instagram.com/moskalus/
https://twitter.com/moskalus
https://www.residentadvisor.net/dj/moskalus-us
http://moskalus.tumblr.com

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
NON PROFIT VIDEO!!! I RECIEVED THIS TRACK FROM THIS LABEL/ARTIST WITH THE FULL INTENT FOR USE IN THIS VIDEO
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
I upload music for the entertainment of myself and others, i do not upload music inorder to make money nor do i upload music to take credit from the artist(s). If i have uploaded one of your tracks then i will happily add a link to your website, youtube channel or Soundcloud page etc. I will also include where the track may be purchased. if you are NOT HAPPY that i have uploaded one of your tracks then simply send me a private message and i will remove it by all means, PLEASE DO NOT JUST REPORT MY CHANNEL"
MzBBLjt_IJs,KETTAMA - THE VERVE,216,542831,Moskalus,TheMoskalus,https://www.youtube.com/channel/UC5rXILumTV11fEeq7nxWgOA,https://www.youtube.com/watch?v=MzBBLjt_IJs,"Excellent atmospheric House drifter
https://soundcloud.com/evan-campbell-8
#KETTAMA
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
NON PROFIT VIDEO!!! I RECIEVED THIS TRACK FROM THIS LABEL/ARTIST WITH THE FULL INTENT FOR USE IN THIS VIDEO
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
I upload music for the entertainment of myself and others, i do not upload music inorder to make money nor do i upload music to take credit from the artist(s). If i have uploaded one of your tracks then i will happily add a link to your website, youtube channel or Soundcloud page etc. I will also include where the track may be purchased. if you are NOT HAPPY that i have uploaded one of your tracks then simply send me a private message and i will remove it by all means, PLEASE DO NOT JUST REPORT MY CHANNEL"
-X-Mh27J-2o,Paul & Shark - Roxanna Break Stuff,296,6059,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=-X-Mh27J-2o,"https://app.rarible.com/token/0xd07dc4262bcdbf85190c01c996b4c06a461d2430:221463:0x2a4594dcdf0b10ae7b10b105fe7e7cfab08d322e
https://freetimediscs.bandcamp.com/releases
https://www.facebook.com/freetimediscs
https://soundcloud.com/freetimediscs"
rixMdrmV6RE,Adria i Sergi - Other Side of Town (Dirty Tape Mix),242,2446,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=rixMdrmV6RE,"https://simplexiarecords.bandcamp.com/album/allowed-to-dance
https://soundcloud.com/simplexia-records
https://soundcloud.com/adriaisrolling
#SimplexiaRecords
https://soundcloud.com/dumbmachinemusic"
