youtube_id,video_title,duration,view_count,uploader_name,uploader_id,channel_url,video_url
LJDYA3388Qc,Babylon Barsebäck - Wristwatch (U Know de Time),271,21713,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=LJDYA3388Qc
26k46kr-PFw,Partiboi69 - Dip on the Dancefloor,174,622404,Partiboi69,UCFpGI5tOfL1n9oyF8pS9SOg,https://www.youtube.com/channel/UCFpGI5tOfL1n9oyF8pS9SOg,https://www.youtube.com/watch?v=26k46kr-PFw
FPsTyvk3pXU,DJ Ibon - Generator,414,3615,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=FPsTyvk3pXU
ccYpSPRgCHA,Harvey Mason - Modaji,413,104038,speech70fb,speech70fb,https://www.youtube.com/channel/UCe5Zj3pN_YPOOR9AoxK6UXQ,https://www.youtube.com/watch?v=ccYpSPRgCHA
-Y7iPufiYEE,DJOKO - Duke,381,91705,Slav,UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/channel/UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/watch?v=-Y7iPufiYEE
Lg0G8xf02Ho,Route 8 - Vibe Breakz,388,14099,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=Lg0G8xf02Ho
DhyaHHnG9z8,MALL GRAB - GUAP,416,715176,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=DhyaHHnG9z8
uccWbuXbHn4,Tha_guts - The Future is Broken,345,10923,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=uccWbuXbHn4
VnPsotVj1h4,Positive Energy Forever,507,376809,Mall Grab - Topic,UCEjft9l_W9IkW7_71Jz8YIA,https://www.youtube.com/channel/UCEjft9l_W9IkW7_71Jz8YIA,https://www.youtube.com/watch?v=VnPsotVj1h4
afos5ZquIz4,Brooklyn Baby - Jazz Please,359,10107,030esar0303,030esar0303,https://www.youtube.com/channel/UCWJ0h-sGerHCxjAo2vRtkbg,https://www.youtube.com/watch?v=afos5ZquIz4
pzFjNGqdpeo,DJ Vas - The Moment,368,12944,televizor,uncacatinocent,https://www.youtube.com/channel/UCQi_FiuHHmM5hmK1IJ-0Bpg,https://www.youtube.com/watch?v=pzFjNGqdpeo
Y595AI86jdc,Jeremy Meeks - Nu Korea,355,45029,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=Y595AI86jdc
sKQF2jHznos,D'FunK - I Gotta Tell Ya,450,4548,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=sKQF2jHznos
DuO9gnY5ngo,Tellier - Tiempos,329,11048,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=DuO9gnY5ngo
B9s7ltqu3fk,The Same for Me,340,3059,Andy Hart - Topic,UC3JU5BnSUSXiF22GyfEBgiA,https://www.youtube.com/channel/UC3JU5BnSUSXiF22GyfEBgiA,https://www.youtube.com/watch?v=B9s7ltqu3fk
i6FbyOMcclk,Andy Hart - Epsilon Girls,350,376146,Johannes Tammekänd,johhu12,https://www.youtube.com/channel/UCMXL9e8jZUHI1Y6xqaUQJVw,https://www.youtube.com/watch?v=i6FbyOMcclk
4EANJaKqRNI,Sonderr - Cruise Control,342,19020,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=4EANJaKqRNI
GOV45H09-Ck,JVXTA - Midnight (Dub),457,19002,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=GOV45H09-Ck
s78wBVOKg4E,Go To Work,238,1500,Amadeezy - Topic,UCh8cwBtdbnt-MUeWcU_govA,https://www.youtube.com/channel/UCh8cwBtdbnt-MUeWcU_govA,https://www.youtube.com/watch?v=s78wBVOKg4E
XHMlnAMEUOg,Doschitai,281,92305,Locked Club - Topic,UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/channel/UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/watch?v=XHMlnAMEUOg
XyPTXYQJyB4,Two Girls,336,22252,Locked Club - Topic,UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/channel/UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/watch?v=XyPTXYQJyB4
JlmDIBX4224,Irak,296,62342,Locked Club - Topic,UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/channel/UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/watch?v=JlmDIBX4224
_u9zlAn0wWM,Edu V Egipet,358,14292,Locked Club - Topic,UC9fmqUnmE9pGVeUwmbYG31g,https://www.youtube.com/channel/UC9fmqUnmE9pGVeUwmbYG31g,https://www.youtube.com/watch?v=_u9zlAn0wWM
rmV0lr0SJIM,"Dj Spielberg - Verdadeiras [No, She Doesn't]",347,2272,Local Request 4991,luisslr,https://www.youtube.com/channel/UCaM4FeYlEB_aEMluu6hJ2OA,https://www.youtube.com/watch?v=rmV0lr0SJIM
yuyV6G6atoQ,X-Coast - Mango Bay,276,1367111,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=yuyV6G6atoQ
4Z0TeaTzo_U,93 'Til Infinity,286,6303087,Souls of Mischief - Topic,UCrQvCPpaNN_C-C3jfKEu0Qw,https://www.youtube.com/channel/UCrQvCPpaNN_C-C3jfKEu0Qw,https://www.youtube.com/watch?v=4Z0TeaTzo_U
kIgAQEkgJAY,Sound Bwoy Bureill (Re-Edit),282,362981,Smif-N-Wessun - Topic,UCAuYz5DcuXFI6JGvlU4ggqw,https://www.youtube.com/channel/UCAuYz5DcuXFI6JGvlU4ggqw,https://www.youtube.com/watch?v=kIgAQEkgJAY
xp6bimmWFHY,Jesse Bru - Phychedellic Brain Paint,414,468364,030esar0303,030esar0303,https://www.youtube.com/channel/UCWJ0h-sGerHCxjAo2vRtkbg,https://www.youtube.com/watch?v=xp6bimmWFHY
