youtube_id,video_title,duration,view_count,uploader_name,uploader_id,channel_url,video_url,description
Agl1TgVfls0,J Dilla - Life (Instrumental),280,18789986,mt. fujitive,MaggiMescudi,https://www.youtube.com/channel/UCX7PNIqy4QdIxeMsjaZO3zQ,https://www.youtube.com/watch?v=Agl1TgVfls0,rip dilla
RY5IZCfkf9A,Demure,161,2402,Anitek,AnitekMusic,https://www.youtube.com/channel/UCHH4ofFOu9si7R1MHG_0azg,https://www.youtube.com/watch?v=RY5IZCfkf9A,NEW 35 Track Instrumental Hip Hop Release
_TRzd0xgSQk,J Dilla - Dreamy,257,2504805,grn,GreatNate78,https://www.youtube.com/channel/UCwAnwUbWC0_a053k-14tYMQ,https://www.youtube.com/watch?v=_TRzd0xgSQk,"LP ""Vintage / Jay Dee Of The Ummah"" unreleased instrumentals (2003) / Bling 47"
JQhjXXJpjlk,Counting Stars,248,661295,Nujabes - Topic,UCxQQET-tQsC4cwzLow9ZsuQ,https://www.youtube.com/channel/UCxQQET-tQsC4cwzLow9ZsuQ,https://www.youtube.com/watch?v=JQhjXXJpjlk,"Provided to YouTube by IIP-DDS

Counting Stars · Nujabes

2nd Collection

℗ 2007 Hydeout Productions

Released on: 2007-11-11

Music  Publisher: ONEPEACE INC.
Composer: Nujabes

Auto-generated by YouTube."
24Jc8rC6S_E,J Dilla - Flowers (Instrumental),280,6971403,beressi,RareHipHopBeats,https://www.youtube.com/channel/UCEvo4G6KynIf3sWobOlcMJw,https://www.youtube.com/watch?v=24Jc8rC6S_E,"REST IN PEACE JAY DEE WE MISS YOU!
https://facebook.com/groups/JDILLA4LIFE/
https://facebook.com/jdillafoundation?fref=ts
https://facebook.com/OfficialJDilla?fref=ts"
42ePOKnuZi0,J Dilla - Too Much (Instrumental),195,1131479,Il Delirio Notturno,UCS2PUR8qwcaYIk48iOVHPXg,https://www.youtube.com/channel/UCS2PUR8qwcaYIk48iOVHPXg,https://www.youtube.com/watch?v=42ePOKnuZi0,"Year: 2016
From the Slum Village's latest album ""YES!"".



Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.
****NOTE: ALL MATERIAL IN THIS VIDEO ARE INTELLECTUAL PROPERTIES OF ITS RESPECTED OWNERS, CORPORATIONS AND ENTITIES. THIS VIDEO IS 100% NON-PROFITABLE AND IS SOLELY FOR ENTERTAINMENT PURPOSES ONLY. I DO NOT CLAIM OWNERSHIP WHATSOEVER. IF THE PRODUCER/RECORD LABEL OR IF ANYONE HAS A PROBLEM WITH THIS VIDEO, PLEASE LET ME KNOW FIRST AND I WILL DELETE THE VIDEO IMMEDIATELY, THANK YOU****"
gFOx1XYqXvU,J Dilla - Beat 27 (Another Batch),249,677051,Il Delirio Notturno,UCS2PUR8qwcaYIk48iOVHPXg,https://www.youtube.com/channel/UCS2PUR8qwcaYIk48iOVHPXg,https://www.youtube.com/watch?v=gFOx1XYqXvU,"Year: 1998
From the Jay Dee's Beat Tape ""Another Batch"".



Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.
****NOTE: ALL MATERIAL IN THIS VIDEO ARE INTELLECTUAL PROPERTIES OF ITS RESPECTED OWNERS, CORPORATIONS AND ENTITIES. THIS VIDEO IS 100% NON-PROFITABLE AND IS SOLELY FOR ENTERTAINMENT PURPOSES ONLY. I DO NOT CLAIM OWNERSHIP WHATSOEVER. IF THE PRODUCER/RECORD LABEL OR IF ANYONE HAS A PROBLEM WITH THIS VIDEO, PLEASE LET ME KNOW FIRST AND I WILL DELETE THE VIDEO IMMEDIATELY, THANK YOU****"
b_cGS3bGtcY,Runnin' (Instrumental),302,511181,The Pharcyde - Topic,UCPBVpB_roy80QRKWi4vwRVQ,https://www.youtube.com/channel/UCPBVpB_roy80QRKWi4vwRVQ,https://www.youtube.com/watch?v=b_cGS3bGtcY,"Provided to YouTube by Universal Music Group

Runnin' (Instrumental) · The Pharcyde

Labcabincalifornia

℗ 2007 The Bicycle Music Company

Released on: 1995-01-01

Composer  Lyricist: James Yancy
Composer  Lyricist: Emandu Wilcox
Composer  Lyricist: Derrick Stewart
Composer  Lyricist: Maria Shermont
Composer  Lyricist: Romye Robinson
Composer  Lyricist: Trevant Hardson
Composer  Lyricist: Luiz Bonfa

Auto-generated by YouTube."
mLDfvBexor4,Kendrick Lamar - Sing About Me (Instrumental),431,4018500,nawtytoonice,magicpuppy90,https://www.youtube.com/channel/UCrzpKU_aJXLEWxY9DnIegqQ,https://www.youtube.com/watch?v=mLDfvBexor4,"The official instrumental version of Kendrick Lamar's Sing About Me

Download Link: http://www.mediafire.com/?d2ut8u3jneujvpm

IG: @nawtynathaniel"
z-DFMXKilkU,Early morning vibes... 😴,785,7542777,STEEZYASFUCK,562Steezy,https://www.youtube.com/channel/UCsIg9WMfxjZZvwROleiVsQg,https://www.youtube.com/watch?v=z-DFMXKilkU,"Similar Music on Spotify:
https://fanlink.to/CSVibes

Tracklist:
0:00 - Aso - Sunsets (Chillhop 2019 Spring Essentials)
2:52 - Justice Der - Empty Places
4:24 - Crazyjazz - Happiness
7:19 - Justice Der - Kicks
11:31 - Justice Der - Memento

🎨 Artwork by marinelartt:
https://instagram.com/marinelsheu
https://www.etsy.com/ie/shop/MarinelART

Follow Aso:
https://soundcloud.com/aricogle
https://aricogle.bandcamp.com/
https://twitter.com/aricogle

Follow Justice Der:
https://soundcloud.com/user-695221118
https://twitter.com/justice_der
https://www.youtube.com/user/redytsuj

Follow Crazy Jazz:
https://open.spotify.com/artist/7nT0BfoHBOjL5yGLTRLmhm?si=Lr_dqCgJR9qIk-lktlB8tA

Follow Steezyasfuck: 
https://facebook.com/steezyasfvck 
https://twitter.com/steezyasfvck 
https://instagram.com/stzzyasfvck

SUBMISSIONS: 
https://stzzzy.com/submissions"
