youtube_id,video_title,duration,view_count,uploader_name,uploader_id,channel_url,video_url
-ZJQSuzsZis,Darlesia - Everlasting (16B Drowning Rhodes Mix),483,7997,GarageVybez98,GarageVybez98,https://www.youtube.com/channel/UC056lRq6KmKi6VTHAzkjNEw,https://www.youtube.com/watch?v=-ZJQSuzsZis
7nQZ2sLWs-0,UNKNOWN ARTIST - IJZEREN ROTS (DIGWAH03),513,14499,Maslow Unknown,UCrgSrKO2ZUYJCirOP9bzDQg,https://www.youtube.com/channel/UCrgSrKO2ZUYJCirOP9bzDQg,https://www.youtube.com/watch?v=7nQZ2sLWs-0
VRvRPm6jqWg,Deception - Seventh Heaven (Uptown Mix) 94',456,2865,Vals,UCR2XQYvNR0zA3FOyFYgZL8g,https://www.youtube.com/channel/UCR2XQYvNR0zA3FOyFYgZL8g,https://www.youtube.com/watch?v=VRvRPm6jqWg
oX80oJCSjAs,Kerri Chandler - Welcome To King Street,396,20893,Yoland,YolandM75,https://www.youtube.com/channel/UCx-FZ7366FPsgx8Fg74Y9VA,https://www.youtube.com/watch?v=oX80oJCSjAs
_VJPT5mge0c,Bob Sinclar & Eddie Amador - Prego (Original Mix) (2003),408,215329,Rok Torkar,balunga113,https://www.youtube.com/channel/UCKlBuUoUvWsdBiZXKCrU1xw,https://www.youtube.com/watch?v=_VJPT5mge0c
QQ-o2W-ELgc,Uk Garage - Reservoir Dogs - Budda Finger,336,257832,mastercarper,mastercarper,https://www.youtube.com/channel/UCWS5ql9emT6qDHAvQMExu2Q,https://www.youtube.com/watch?v=QQ-o2W-ELgc
1uj7o8LziXI,Hi Times - Feel It (Red Eye Version),324,24425,UKGARAGECLASSICS,oldskoolgarage1,https://www.youtube.com/channel/UCc_QM6hYxfbS5S3l4FuFqKg,https://www.youtube.com/watch?v=1uj7o8LziXI
uXdiLPiWxfw,Smokin Beats - Brighter Day EP - 1994 House - [SMB002],545,36880,Good5417,Good5417,https://www.youtube.com/channel/UCxD8XY05uxRQtMIQCilbvRg,https://www.youtube.com/watch?v=uXdiLPiWxfw
aU6z-pPEmY0,Adam Beyer & Bart Skils - Your Mind [Drumcode],503,10859138,drumcodeofficial,drumcodeofficial,https://www.youtube.com/channel/UC8eXqFK48M3bBSmMO1FRgIA,https://www.youtube.com/watch?v=aU6z-pPEmY0
4zjNaqnUXPg,Somersault - Vision (PIV040),407,2738,PIV Records,UC2XDmyB7ddviFeH6S9whRXw,https://www.youtube.com/channel/UC2XDmyB7ddviFeH6S9whRXw,https://www.youtube.com/watch?v=4zjNaqnUXPg
