youtube_id,video_title,duration,view_count,uploader_name,uploader_id,channel_url,video_url
Agl1TgVfls0,J Dilla - Life (Instrumental),280,19415847,mt. fujitive,MaggiMescudi,https://www.youtube.com/channel/UCX7PNIqy4QdIxeMsjaZO3zQ,https://www.youtube.com/watch?v=Agl1TgVfls0
RY5IZCfkf9A,Demure,161,3282,Anitek,AnitekMusic,https://www.youtube.com/channel/UCHH4ofFOu9si7R1MHG_0azg,https://www.youtube.com/watch?v=RY5IZCfkf9A
_TRzd0xgSQk,J Dilla - Dreamy,257,2553698,grn,GreatNate78,https://www.youtube.com/channel/UCwAnwUbWC0_a053k-14tYMQ,https://www.youtube.com/watch?v=_TRzd0xgSQk
JQhjXXJpjlk,Counting Stars,248,1217750,Nujabes - Topic,UCxQQET-tQsC4cwzLow9ZsuQ,https://www.youtube.com/channel/UCxQQET-tQsC4cwzLow9ZsuQ,https://www.youtube.com/watch?v=JQhjXXJpjlk
24Jc8rC6S_E,J Dilla - Flowers (Instrumental),280,7117305,beressi,RareHipHopBeats,https://www.youtube.com/channel/UCEvo4G6KynIf3sWobOlcMJw,https://www.youtube.com/watch?v=24Jc8rC6S_E
42ePOKnuZi0,J Dilla - Too Much (Instrumental),195,1222595,Il Delirio Notturno,UCS2PUR8qwcaYIk48iOVHPXg,https://www.youtube.com/channel/UCS2PUR8qwcaYIk48iOVHPXg,https://www.youtube.com/watch?v=42ePOKnuZi0
gFOx1XYqXvU,J Dilla - Beat 27 (Another Batch),249,741919,Il Delirio Notturno,UCS2PUR8qwcaYIk48iOVHPXg,https://www.youtube.com/channel/UCS2PUR8qwcaYIk48iOVHPXg,https://www.youtube.com/watch?v=gFOx1XYqXvU
b_cGS3bGtcY,Runnin' (Instrumental),302,595445,The Pharcyde - Topic,UCPBVpB_roy80QRKWi4vwRVQ,https://www.youtube.com/channel/UCPBVpB_roy80QRKWi4vwRVQ,https://www.youtube.com/watch?v=b_cGS3bGtcY
mLDfvBexor4,Kendrick Lamar - Sing About Me (Instrumental),431,4187510,nawtytoonice,magicpuppy90,https://www.youtube.com/channel/UCrzpKU_aJXLEWxY9DnIegqQ,https://www.youtube.com/watch?v=mLDfvBexor4
z-DFMXKilkU,Early morning vibes... 😴,785,7709769,STEEZYASFUCK,562Steezy,https://www.youtube.com/channel/UCsIg9WMfxjZZvwROleiVsQg,https://www.youtube.com/watch?v=z-DFMXKilkU
SG8vlZOst-0,Denzel Farrington & Butch Redworth - Plaza Paradise,166,511,"Ltd, W/Lbl",UCjp9sLBH49wxNq0b9UFu_TQ,https://www.youtube.com/channel/UCjp9sLBH49wxNq0b9UFu_TQ,https://www.youtube.com/watch?v=SG8vlZOst-0
E-UKz_-Qa90,Norsacce - Secte Part. 3 (feat. Osirus Jack) [LOFI remix],173,23939,Kingcsix,UC1lESL37u55-Qi_1l3Pippw,https://www.youtube.com/channel/UC1lESL37u55-Qi_1l3Pippw,https://www.youtube.com/watch?v=E-UKz_-Qa90
wso6Ddf6a-A,97SPECIAL - flavor of life,88,91343,sunset boy,UCDCcp-FCOHnUl_tRnoc6hZw,https://www.youtube.com/channel/UCDCcp-FCOHnUl_tRnoc6hZw,https://www.youtube.com/watch?v=wso6Ddf6a-A
rEUqzWhVfAM,Cbakl — GIVE ME MY FLOWERS. (Full Album),712,2607,You've probably never heard of it.,UCfP6C9bT_llY13EhAfR-ekA,https://www.youtube.com/channel/UCfP6C9bT_llY13EhAfR-ekA,https://www.youtube.com/watch?v=rEUqzWhVfAM
tKQV1aYqjCY,saib. - smooth,123,2139622,haku,Hakugrow,https://www.youtube.com/channel/UCCiD0oIeQNjlST8e90LU_7w,https://www.youtube.com/watch?v=tKQV1aYqjCY
4ZHvsoNDawk,Slum Village - And I Got (Ephcy Sessions 1994),176,5051,DST.LAB,UCAmDzv-ZuNIZobuY6JBuYiA,https://www.youtube.com/channel/UCAmDzv-ZuNIZobuY6JBuYiA,https://www.youtube.com/watch?v=4ZHvsoNDawk
0dYPYAMxviw,Vanilla - Summer,235,7873652,ElFamosoDemon,ElFamosoDemon,https://www.youtube.com/channel/UCRUOfuNIb_sk__7snjK3aVg,https://www.youtube.com/watch?v=0dYPYAMxviw
SA6zWZI0Tsw,Jazz Liberatorz - Force Be With You (Instrumental),196,131123,Softflava,softflava,https://www.youtube.com/channel/UCWGK77N4d7Ho1HaSnN69fRw,https://www.youtube.com/watch?v=SA6zWZI0Tsw
nia4FU87kpo,Adult Swim Bump - Calm Storm,253,91829,Starscreamlive,andrewsutherland2002,https://www.youtube.com/channel/UCEA-HoOovEuNAfUAI6hDLDQ,https://www.youtube.com/watch?v=nia4FU87kpo
XJmIblssR9Y,Blackalicious - 40oz for Breakfast,463,136119,Matt Welsh,hexopod,https://www.youtube.com/channel/UCi94pE9GuNr_-qNQLIgmKFA,https://www.youtube.com/watch?v=XJmIblssR9Y
CXIXDey0sA8,Pete Rock & CL Smooth - Rare Tracks,2950,65501,Love Jones,UCWjpteGamGASVIrqxdsYSkg,https://www.youtube.com/channel/UCWjpteGamGASVIrqxdsYSkg,https://www.youtube.com/watch?v=CXIXDey0sA8
vyI2IU5YOuk,ADULTSWIM BUMP - MIDNIGHT LIGHT SKY,203,5002,Abstract Ent,Cvsnbtheabstract,https://www.youtube.com/channel/UC3bNitFsixNHf0SyTveiQmg,https://www.youtube.com/watch?v=vyI2IU5YOuk
BJzCmrWzWtk,J Dilla - Too Much (Extended),881,293209,el choumas,UCnDiRRyY5Tyf61sD2Js4F_w,https://www.youtube.com/channel/UCnDiRRyY5Tyf61sD2Js4F_w,https://www.youtube.com/watch?v=BJzCmrWzWtk
zOqtGiTUkIQ,J Dilla & Keith Murray - The Rhyme (Remix) (Instrumental) [Extended],1810,1052619,La Fuerza,UCVMKw12xd-GiPbfwmA5Lfgw,https://www.youtube.com/channel/UCVMKw12xd-GiPbfwmA5Lfgw,https://www.youtube.com/watch?v=zOqtGiTUkIQ
jQ3DX7oDOMg,J DILLA - Anthem (Cookin Soul remix),171,179349,cookinsoul,cookinsoul,https://www.youtube.com/channel/UCaFYkTAL8ykusTQR6FrZLfg,https://www.youtube.com/watch?v=jQ3DX7oDOMg
w72Dkdcn45o,J Dilla - Get Dis Money (Instrumental) (Extended),1320,124949,La Fuerza,UCVMKw12xd-GiPbfwmA5Lfgw,https://www.youtube.com/channel/UCVMKw12xd-GiPbfwmA5Lfgw,https://www.youtube.com/watch?v=w72Dkdcn45o
FjKfbCESSCY,Syn - Demo 01,267,32997,pianolight5,pianolight5,https://www.youtube.com/channel/UC3AHaec8h0iq_HWSpfR3-rQ,https://www.youtube.com/watch?v=FjKfbCESSCY
YsQSrczcoCU,J Dilla - House Shoes Blues (Instrumental),166,194259,Il Delirio Notturno,UCS2PUR8qwcaYIk48iOVHPXg,https://www.youtube.com/channel/UCS2PUR8qwcaYIk48iOVHPXg,https://www.youtube.com/watch?v=YsQSrczcoCU
ai3IxPkJc3s,J Dilla - Pack Da House (Instrumental),204,1016,flux the cynic,UCVOoKYTKBcsWeFH_tU_QEQg,https://www.youtube.com/channel/UCVOoKYTKBcsWeFH_tU_QEQg,https://www.youtube.com/watch?v=ai3IxPkJc3s
zPlDr-f7yCI,Jay Dee - Microphone Master (Remix) Das Efx,261,37974,House Shoes,houseshoes,https://www.youtube.com/channel/UCeL-fIHnbRfE3fkcisCfIew,https://www.youtube.com/watch?v=zPlDr-f7yCI
fPc45vUSfXs,J Dilla - Ahmad Impresses Me (Instrumental),100,288010,QulKamasi,QulKamasi,https://www.youtube.com/channel/UCjYL_JP-8pDpwaoNVjUJMVQ,https://www.youtube.com/watch?v=fPc45vUSfXs
