youtube_id,video_title,duration,view_count,uploader_name,uploader_id,channel_url,video_url
2w93C-mPb8M,Felipe Gordon x Cody Currie - Cold Nights (feat. Ally McMahon),356,52711,Slav,UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/channel/UC8MLS5X0vWxxa5nyJxfSA1A,https://www.youtube.com/watch?v=2w93C-mPb8M
a8u5-CnmJk8,Armand Van Helden - You Don't Know Me (Original Mix) (1998),446,14258962,DJ EPhunk,PhunkyPhlawless,https://www.youtube.com/channel/UCBveTTR4oVAZeqv_EyTtL4A,https://www.youtube.com/watch?v=a8u5-CnmJk8
E27i3udYamk,Nina Simone - Blackbird (Timmy Regisford's Original Shelter Version),345,3473,Mark Anthony’s Music Picks,lilbromarky1,https://www.youtube.com/channel/UCazCk58M1Blh3aotkcP6DVg,https://www.youtube.com/watch?v=E27i3udYamk
PpJS3_jPVwE,Deep Sensation - Reelin' with the feelin' ( Deep jazz dub ),411,7850,PiccoloDamayonnaizDragonBallSuperZ,SundayMorningSession,https://www.youtube.com/channel/UCRgGv9kheqEemKqXJP6limw,https://www.youtube.com/watch?v=PpJS3_jPVwE
L9cT0MpRBPM,Sebb Junior - Disco Light,355,48327,Houseum,UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/channel/UC58C_BhzlZIJTeomuVSD2lA,https://www.youtube.com/watch?v=L9cT0MpRBPM
cjO8b9LiOcs,Moments & Whatnauts - Girls (Dj Dharma 900 & DJ OMC Remix),385,1268,Moskalus,TheMoskalus,https://www.youtube.com/channel/UC5rXILumTV11fEeq7nxWgOA,https://www.youtube.com/watch?v=cjO8b9LiOcs
DoMB6VElQMk,True To Myself (Original Mix),336,771,Rahaan - Topic,UCLq7iXKPjQs6gFQZxUXiADQ,https://www.youtube.com/channel/UCLq7iXKPjQs6gFQZxUXiADQ,https://www.youtube.com/watch?v=DoMB6VElQMk
4T0-kQZE3zM,Chaos In The CBD - 816 To Nunhead,378,12728,030esar0303,030esar0303,https://www.youtube.com/channel/UCWJ0h-sGerHCxjAo2vRtkbg,https://www.youtube.com/watch?v=4T0-kQZE3zM
b68x1-D4unQ,Disco Dust - Feels Good,454,35462,77josh83,77josh83,https://www.youtube.com/channel/UCj-UB4zUmzKF8_8Z8SiTAqg,https://www.youtube.com/watch?v=b68x1-D4unQ
_Wo0NGDLSq4,Kevin O - Sneakin In & Out,371,2952,massoul,massoulme,https://www.youtube.com/channel/UCIHZs6rQDlVArEJaR728b6w,https://www.youtube.com/watch?v=_Wo0NGDLSq4
wg2Pm2gGWQc,Fruit Loops - The Message Is Love,328,8287,Limonadier,limonadierofficial,https://www.youtube.com/channel/UCQAKNDn41dF5Avplr1l7M-A,https://www.youtube.com/watch?v=wg2Pm2gGWQc
kdorRu7merk,Cajmere & Gene Farris - Coconuts,270,72291,Green Velvet,cajualrecords,https://www.youtube.com/channel/UCTQqrOsFi1Rxta5R9mpbX3g,https://www.youtube.com/watch?v=kdorRu7merk
PszwRx7gPlo,DJ Ciderman - All Yours,328,20954,ColdCuts // HotWax,UCLbDngg7xrEbndFuiJdPeyQ,https://www.youtube.com/channel/UCLbDngg7xrEbndFuiJdPeyQ,https://www.youtube.com/watch?v=PszwRx7gPlo
bmDrFlJ7uIk,S3A - Bob Morton Track (LTCD007) 2017,350,3782,Local Talk Records,LocalTalkRecords,https://www.youtube.com/channel/UCpAYHD-PchKpe-daPItVhuA,https://www.youtube.com/watch?v=bmDrFlJ7uIk
e2ucA4NMfmA,Flapjackers - From Canada to Mexico (Original mix),351,15535,Turculet,Turculet,https://www.youtube.com/channel/UCPKClyK4htcV2YkepS8WvfQ,https://www.youtube.com/watch?v=e2ucA4NMfmA
hTl0F2cKzLk,Modjo - Chillin' (Official Video),231,14008418,ModjoOfficial,ModjoOfficial,https://www.youtube.com/channel/UC74sX8oY-MVC7_3KzlnFgzQ,https://www.youtube.com/watch?v=hTl0F2cKzLk
neWNlWehJFQ,NYC Live & Direct - Move Like This (Chronicles Mix) (1998),455,326290,Rok Torkar,balunga113,https://www.youtube.com/channel/UCKlBuUoUvWsdBiZXKCrU1xw,https://www.youtube.com/watch?v=neWNlWehJFQ
gUeid2DSHKg,Full Intention - I Love America (DJ Tonka's Late Checkout),375,84533,Altra Moda Music,AltraModaMusic,https://www.youtube.com/channel/UCFRe1i5lu0H26RgEBWR1gpA,https://www.youtube.com/watch?v=gUeid2DSHKg
D6QPb82z3-I,Smokin Beats ft Lynn Eden - Dreams (Vocal Mix) [1996],477,7138,Selectah!,UUMusicHouse,https://www.youtube.com/channel/UCye4W_TimSKVJBL3y0tWuTA,https://www.youtube.com/watch?v=D6QPb82z3-I
PUnr5ocuSr0,Yards of The Moon - Volcano The Sailor (Połoz) (Night FM),292,433969,godver555,godver555,https://www.youtube.com/channel/UCPImAbzTKBAYbFQsRcyWRJA,https://www.youtube.com/watch?v=PUnr5ocuSr0
H6uRlcVifsI,Vertigo - Relight My Fire (Jarc Reconstruction),686,634,Moskalus,TheMoskalus,https://www.youtube.com/channel/UC5rXILumTV11fEeq7nxWgOA,https://www.youtube.com/watch?v=H6uRlcVifsI
h5u5osSwtrc,Joescho - Mary Jane,320,725,Moskalus,TheMoskalus,https://www.youtube.com/channel/UC5rXILumTV11fEeq7nxWgOA,https://www.youtube.com/watch?v=h5u5osSwtrc
h4E6Kpg3Or0,Give It Up,345,1971,Reza - Topic,UCwZlvMeR3s3gpwBWgKbltfg,https://www.youtube.com/channel/UCwZlvMeR3s3gpwBWgKbltfg,https://www.youtube.com/watch?v=h4E6Kpg3Or0
27zA-6tqybc,Big Love (Dr Packer Remix) (Mixed),441,22316,Pete Heller's Big Love - Topic,UCDDJqQzmw90ur-IFNwBh5Kg,https://www.youtube.com/channel/UCDDJqQzmw90ur-IFNwBh5Kg,https://www.youtube.com/watch?v=27zA-6tqybc
