youtube_id,video_title,duration,view_count,uploader_name,uploader_id,channel_url,video_url
_M_gjtO6tps,Dj Different - I Can't,312,2774,Traxx Underground,traxxunderground,https://www.youtube.com/channel/UC3rsicK5JhqOY9PsDOofH3g,https://www.youtube.com/watch?v=_M_gjtO6tps
EPVUfOcc98k,Flashing Lights,283,72575,Subjoi - Topic,UCzdoM3iZY_3PjfgKlAOFamw,https://www.youtube.com/channel/UCzdoM3iZY_3PjfgKlAOFamw,https://www.youtube.com/watch?v=EPVUfOcc98k
wHqW8cS7lTQ,CHEVALS - MY LOVE MY KISSES [DANSU DISCS],378,6243,Maslow Unknown,UCrgSrKO2ZUYJCirOP9bzDQg,https://www.youtube.com/channel/UCrgSrKO2ZUYJCirOP9bzDQg,https://www.youtube.com/watch?v=wHqW8cS7lTQ
daGHNXtYs7A,Multeci,348,852,Лучший Друг - Topic,UC9nCBVW0cch7ET3ooNBfuag,https://www.youtube.com/channel/UC9nCBVW0cch7ET3ooNBfuag,https://www.youtube.com/watch?v=daGHNXtYs7A
k71_d5oZJLM,Turk Turkelton - Pony,298,12924,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=k71_d5oZJLM
adyHKkTQUKY,Ditongo - Gattone,439,19565,peedschgo,peedschgo,https://www.youtube.com/channel/UC71-IWG4Q-GTm11GoRfQm-Q,https://www.youtube.com/watch?v=adyHKkTQUKY
P-K9WqjP4cE,Pépe - Ghetto House For The Painfully Alone,333,12856,purpledurtysprite,UCsZxDZpm_M4u_Zgcozf8zJQ,https://www.youtube.com/channel/UCsZxDZpm_M4u_Zgcozf8zJQ,https://www.youtube.com/watch?v=P-K9WqjP4cE
R36jg5RkmOc,Laroze - Final Battle,335,3423,030esar0303,030esar0303,https://www.youtube.com/channel/UCWJ0h-sGerHCxjAo2vRtkbg,https://www.youtube.com/watch?v=R36jg5RkmOc
9KFDUxsr8AY,Vanderkush - Trappy Jacob,125,1009774,Tealerland,TealerTV,https://www.youtube.com/channel/UCIqiojOeEd4lidHu0oGDD7w,https://www.youtube.com/watch?v=9KFDUxsr8AY
rzixBJ3LZ2E,Always Keep It 69,248,106351,Partiboi69 - Topic,UCR3qqKVcTcok5-LYa1VLaMQ,https://www.youtube.com/channel/UCR3qqKVcTcok5-LYa1VLaMQ,https://www.youtube.com/watch?v=rzixBJ3LZ2E
DBAQRY1MTUY,Kai Tracid - Trance & Acid (Official Video),230,3267425,Kontor.TV,kontor,https://www.youtube.com/channel/UCb3tJ5NKw7mDxyaQ73mwbRg,https://www.youtube.com/watch?v=DBAQRY1MTUY
vQU6jsMPdMo,DJ Dustin - One In a Million (Edit),351,31497,Vals,UCR2XQYvNR0zA3FOyFYgZL8g,https://www.youtube.com/channel/UCR2XQYvNR0zA3FOyFYgZL8g,https://www.youtube.com/watch?v=vQU6jsMPdMo
bs6kmgm37q8,Soulwax - Too Many DJ's (Promo Video) HD,207,433,themosttogain,themosttogain,https://www.youtube.com/channel/UC4tC6f2DIPgv7N9Qxa3GcNA,https://www.youtube.com/watch?v=bs6kmgm37q8
jfhmG3wE_Rk,Playaphonk - PHONKY TOWN (Audio),141,9141602,Revive Music,UCYXIviXPAaaaU_AOotpXTAw,https://www.youtube.com/channel/UCYXIviXPAaaaU_AOotpXTAw,https://www.youtube.com/watch?v=jfhmG3wE_Rk
XHMlnAMEUOg,Doschitai,281,124996,Locked Club - Topic,UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/channel/UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/watch?v=XHMlnAMEUOg
JlmDIBX4224,Irak,296,93679,Locked Club - Topic,UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/channel/UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/watch?v=JlmDIBX4224
_u9zlAn0wWM,Edu V Egipet,358,39838,Locked Club - Topic,UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/channel/UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/watch?v=_u9zlAn0wWM
RKWvykJAtS4,Trudge - Taken,338,15496,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=RKWvykJAtS4
VGuQs-6rmZQ,O'Flynn - Sunspear (Official Audio),276,118536,O'Flynn Music,UCHsNnkTzCzOQl5OlDgtu2NA,https://www.youtube.com/channel/UCHsNnkTzCzOQl5OlDgtu2NA,https://www.youtube.com/watch?v=VGuQs-6rmZQ
yuyV6G6atoQ,X-Coast - Mango Bay,276,1402882,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=yuyV6G6atoQ
xp6bimmWFHY,Jesse Bru - Phychedellic Brain Paint,414,470832,030esar0303,030esar0303,https://www.youtube.com/channel/UCWJ0h-sGerHCxjAo2vRtkbg,https://www.youtube.com/watch?v=xp6bimmWFHY
ZbFDyzY8J98,Buzz Compass - Think Twice,307,27469,Mr_Kenzo,kenzo10555,https://www.youtube.com/channel/UC4USLDJfI1rPkkVlQE1FRew,https://www.youtube.com/watch?v=ZbFDyzY8J98
BvSFIRFd4SM,Johnny Fiasco  -  The Message,451,22781,Free is in Da House,FreeisinDaHouseAgain,https://www.youtube.com/channel/UCGkzJmg31dgczktvAikK7Qg,https://www.youtube.com/watch?v=BvSFIRFd4SM
bFCUELL9A70,Folamour - Devoted to U,610,1359119,030esar0303,030esar0303,https://www.youtube.com/channel/UCWJ0h-sGerHCxjAo2vRtkbg,https://www.youtube.com/watch?v=bFCUELL9A70
hR5zTDwMmEM,Moloko   Sing it back Herbert's Tasteful Dub,361,28206,DV8 The Original Martin Vogelman,UC2fqUQqdRhEZkRg8BHiARbw,https://www.youtube.com/channel/UC2fqUQqdRhEZkRg8BHiARbw,https://www.youtube.com/watch?v=hR5zTDwMmEM
B8dw5-hPdIg,X CLUB. - A LOVE [Underground Mix],477,14185,definite party material,dpmsound,https://www.youtube.com/channel/UC-IK_TuqOvv6sLSYzousUSQ,https://www.youtube.com/watch?v=B8dw5-hPdIg
yqtfq1X2ukk,OSN 高尔宣 - WITHOUT YOU 没了你 （Lyrics CHN/ROM/ENG/歌詞）,175,386434,Wills Channel,UC7GHLn1bcSMc74hqnKAG7bw,https://www.youtube.com/channel/UC7GHLn1bcSMc74hqnKAG7bw,https://www.youtube.com/watch?v=yqtfq1X2ukk
c7BMqRNvKwk,Partiboi69 - Get Stingy,228,561999,Partiboi69,UCFpGI5tOfL1n9oyF8pS9SOg,https://www.youtube.com/channel/UCFpGI5tOfL1n9oyF8pS9SOg,https://www.youtube.com/watch?v=c7BMqRNvKwk
uc5GtNn1728,KETTAMA - Eastside Avenue,263,80177,Shall Not Fade,UCB4w8ZgPRod0Glvy9Ok7-ZA,https://www.youtube.com/channel/UCB4w8ZgPRod0Glvy9Ok7-ZA,https://www.youtube.com/watch?v=uc5GtNn1728
oDbkSyYbe10,Regal - SCTR [INV008],532,50084,Garrou,garryka,https://www.youtube.com/channel/UCM1MITLQNPg4hLl04yX7zQA,https://www.youtube.com/watch?v=oDbkSyYbe10
BO-gK7JzVgU,Turk Turkelton - Gision of a Vangsta,370,46358,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=BO-gK7JzVgU
hwPAamlcvQI,Amadeezy - Yo Girlfriend!,192,19570,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=hwPAamlcvQI
aYEmlRHFKP0,Ejeca vs Rhythm Operator - Raid,429,27019,IndiciousSoul,IndiciousSoul,https://www.youtube.com/channel/UCujt6aaC7kMV-7RtAzLk1nA,https://www.youtube.com/watch?v=aYEmlRHFKP0
A8H6DT4J-g4,Pi Pu Pa,384,26877,Locked Club - Topic,UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/channel/UCfgKfMo-zs9cjTyF0iQYsxA,https://www.youtube.com/watch?v=A8H6DT4J-g4
f4yXuxbiOcA,JKS - Mash Up The Dance [MLKL024],512,27004,HATE,UC6qQOTx9LuKMC5p2dbjmSRg,https://www.youtube.com/channel/UC6qQOTx9LuKMC5p2dbjmSRg,https://www.youtube.com/watch?v=f4yXuxbiOcA
E7H3K0Kq6Sw,Brioche - Paquet Surprise,244,5459,OOUKFunkyOO,OOUKFunkyOO,https://www.youtube.com/channel/UCY2mgHbe4QiYjLHrtF5FMYQ,https://www.youtube.com/watch?v=E7H3K0Kq6Sw
Oa2kCDpvFKw,Ibuki's Stage - Twilight (Arranged),145,240859,Rickenslacker,Rickenslacker,https://www.youtube.com/channel/UCWbqyn8eoHnzJ56S4H2pIiA,https://www.youtube.com/watch?v=Oa2kCDpvFKw
22J4B6P1WnA,Hyas - This Bitch,295,2846,Novaj 新し,UCgSC4NFr_xwN-lBfBbLqprw,https://www.youtube.com/channel/UCgSC4NFr_xwN-lBfBbLqprw,https://www.youtube.com/watch?v=22J4B6P1WnA
HEjhaJ7Q-Do,TDJ - Raved 2 Death [RAWSH02],230,10752,RAW,UCVYRGoaz1vOWJzzScbwcUQw,https://www.youtube.com/channel/UCVYRGoaz1vOWJzzScbwcUQw,https://www.youtube.com/watch?v=HEjhaJ7Q-Do
1cKCy5cbf78,Chlär - Magalenha [RAWSH02],410,30524,RAW,UCVYRGoaz1vOWJzzScbwcUQw,https://www.youtube.com/channel/UCVYRGoaz1vOWJzzScbwcUQw,https://www.youtube.com/watch?v=1cKCy5cbf78
U011nt9LcDE,Pool Party Music (Original Mix),368,81343,Mall Grab - Topic,UCEjft9l_W9IkW7_71Jz8YIA,https://www.youtube.com/channel/UCEjft9l_W9IkW7_71Jz8YIA,https://www.youtube.com/watch?v=U011nt9LcDE
fR6YBZ8CTuw,Mall Grab - Let U Kno,344,215500,hurfyd,hurfyd,https://www.youtube.com/channel/UCzeR0_RWnpNHe6y4DTLwE5Q,https://www.youtube.com/watch?v=fR6YBZ8CTuw
KyjxRbOjtwI,Mall Grab - Roadworks,317,257834,Projects MMXIV,UC1KUI7WcNHwewCGX11JJfAA,https://www.youtube.com/channel/UC1KUI7WcNHwewCGX11JJfAA,https://www.youtube.com/watch?v=KyjxRbOjtwI
BVxLljGOBxk,Fede Lng - Looking From Above (Original Mix) [AOWW002],366,1531,Axe OnWax,UCBmx_zyuF5EIUfCVzb_y4XQ,https://www.youtube.com/channel/UCBmx_zyuF5EIUfCVzb_y4XQ,https://www.youtube.com/watch?v=BVxLljGOBxk
AN-1wqkRZI8,Denis Sulta - Saturday Nite,295,41299,PlasticSoul06,UCwJED8kWKIVNor_FmLvQw1w,https://www.youtube.com/channel/UCwJED8kWKIVNor_FmLvQw1w,https://www.youtube.com/watch?v=AN-1wqkRZI8
34qYESmFpII,Matt Finnegan - Cry If You Need To,377,2667,Saw-mon and Natalie,UCReYzertX6orFSx0AhdLF0Q,https://www.youtube.com/channel/UCReYzertX6orFSx0AhdLF0Q,https://www.youtube.com/watch?v=34qYESmFpII
kGLPjVimdyg,Hermeth - Situationship,381,15071,definite party material,dpmsound,https://www.youtube.com/channel/UC-IK_TuqOvv6sLSYzousUSQ,https://www.youtube.com/watch?v=kGLPjVimdyg
21e9d1S2fk0,Bradock - Atom Funk [1997],393,6296,Old Skool Rewind Official,UCBod7M_EX2QsgsrV9ZA6J7g,https://www.youtube.com/channel/UCBod7M_EX2QsgsrV9ZA6J7g,https://www.youtube.com/watch?v=21e9d1S2fk0
Zr8-lGr1SrI,Mézigue - Mangeur Paname,344,1384,Skylax Records,skylaxrecords,https://www.youtube.com/channel/UCZ9MTcbhgL6pL1H0R2qyoIw,https://www.youtube.com/watch?v=Zr8-lGr1SrI
_Ktu8B7zNas,estelle - american boy (slowed & reverb),343,11769660,s l o w e d j a m s,UCTDJ8ZQ-TS6OFnbr3gIxlXQ,https://www.youtube.com/channel/UCTDJ8ZQ-TS6OFnbr3gIxlXQ,https://www.youtube.com/watch?v=_Ktu8B7zNas
61QzoFaYDQY,Rabo De Saia - Ripa Na Xulipa [Extended Charles Maurice Version],329,678854,FIVE,fivedeejay,https://www.youtube.com/channel/UCdbxrDHqMp9iyWTZ-YyGRzg,https://www.youtube.com/watch?v=61QzoFaYDQY
7CxUqx75TZc,Braga Circuit - Will Luv You Good,377,2744,skambas,skambajs2,https://www.youtube.com/channel/UC-v-aqLx-6BfhXpObe-A7Tg,https://www.youtube.com/watch?v=7CxUqx75TZc
